,pesticide,food,mrl
0,paichongding,Cereal,-2.0
1,paichongding,Rice,0.5
2,paichongding,Wheat,0.1
3,paichongding,Brown rice,0.5
4,nitenpyram,Cereal,-2.0
5,nitenpyram,Rice,0.5
6,nitenpyram,Brown rice,0.1
7,dinotefuran,Cereal,-2.0
8,dinotefuran,Rice,10.0
9,dinotefuran,Wheat,2.0
10,dinotefuran,Brown rice,5.0
11,amisulbrom,Cereal,-2.0
12,amisulbrom,Rice,0.05
13,amisulbrom,Brown rice,0.05
14,benzobicyclon,Cereal,-2.0
15,benzobicyclon,Rice,0.1
16,benzobicyclon,Brown rice,0.1
17,propanil,Cereal,-2.0
18,propanil,Rice,2.0
19,fonofos,Cereal,-2.0
20,fonofos,Rice,0.05
21,fonofos,Wheats,0.05
22,fonofos,Upland crops,0.05
23,fonofos,Coarse cereals,0.05
24,amidosulfuron,Cereal,-2.0
25,amidosulfuron,Wheats,0.01
26,cyhalofop-butyl,Cereal,-2.0
27,cyhalofop-butyl,Brown rice,0.1
28,cyhalothrin and lambda-cyhalothrin,Cereal,-2.0
29,cyhalothrin and lambda-cyhalothrin,Wheat,0.05
30,cyhalothrin and lambda-cyhalothrin,Barley,0.5
31,cyhalothrin and lambda-cyhalothrin,Oat,0.05
32,cyhalothrin and lambda-cyhalothrin,Rye,0.05
33,cyhalothrin and lambda-cyhalothrin,Triticale,0.05
34,cyhalothrin and lambda-cyhalothrin,Corn,0.02
35,cyhalothrin and lambda-cyhalothrin,Fresh corn,0.2
36,cyhalothrin and lambda-cyhalothrin,Sorghum,0.5
37,cyhalothrin and lambda-cyhalothrin,Coarse cereals,0.05
38,"2,3,6-TBA",Cereal,-2.0
39,"2,3,6-TBA",Rice,0.01
40,"2,3,6-TBA",Wheats,0.01
41,"2,3,6-TBA",Upland crops,0.01
42,"2,3,6-TBA",Coarse cereals,0.01
43,"2,3,6-TBA",Processed grains,0.01
44,bicyclopyrone,Cereal,-2.0
45,bicyclopyrone,Wheat,0.04
46,bicyclopyrone,Barley,0.04
47,bicyclopyrone,Corn,0.02
48,bicyclopyrone,Fresh corn,0.03
49,bicyclopyrone,Wheat germ,0.06
50,flusilazole,Cereal,-2.0
51,flusilazole,Rice,0.2
52,flusilazole,Wheats,0.2
53,flusilazole,Upland crops,0.2
54,megnesium phosphide,Cereal,-2.0
55,megnesium phosphide,Rice,0.05
56,rimsulfuron,Cereal,-2.0
57,rimsulfuron,Corn,0.1
58,thiocyclam,Cereal,-2.0
59,thiocyclam,Rice,0.2
60,thiosultap-monosodium,Cereal,-2.0
61,thiosultap-monosodium,Corn,0.5
62,thiosultap-monosodium,Fresh corn,0.5
63,thiosultap-monosodium,Brown rice,1.0
64,methyl bromide,Cereal,-2.0
65,methyl bromide,Rice,0.02
66,methyl bromide,Wheats,0.02
67,methyl bromide,Upland crops,0.02
68,methyl bromide,Coarse cereals,0.02
69,methyl bromide,Processed grains,0.02
70,phosfolan,Cereal,-2.0
71,phosfolan,Wheat,0.03
72,quintozene,Cereal,-2.0
73,quintozene,Wheat,0.01
74,quintozene,Barley,0.01
75,quintozene,Corn,0.01
76,quintozene,Fresh corn,0.1
77,quintozene,Coarse cereals (with the exception of pea),0.02
78,quintozene,Pea,0.01
79,cycloprate,Cereal,-2.0
80,cycloprate,Rice,0.01
81,cycloprate,Wheats,0.01
82,cycloprate,Upland crops,0.01
83,cycloprate,Coarse cereals,0.01
84,cycloprate,Processed grains,0.01
