chi_pesticide,eu_pesticide,food,mrl
Zoxamide,Zoxamide,"FRUITS, FRESH or FROZEN; TREE NUTS",
Zoxamide,Zoxamide,Citrus fruits,0.02
Zoxamide,Zoxamide,Grapefruits,0.02
Zoxamide,Zoxamide,Oranges,0.02
Zoxamide,Zoxamide,Lemons,0.02
Zoxamide,Zoxamide,Limes,0.02
Zoxamide,Zoxamide,Mandarins,0.02
Zoxamide,Zoxamide,Others (2),0.02
Zoxamide,Zoxamide,Tree nuts,0.02
Zoxamide,Zoxamide,Almonds,0.02
Zoxamide,Zoxamide,Brazil nuts,0.02
Zoxamide,Zoxamide,Cashew nuts,0.02
Zoxamide,Zoxamide,Chestnuts,0.02
Zoxamide,Zoxamide,Coconuts,0.02
Zoxamide,Zoxamide,Hazelnuts/cobnuts,0.02
Zoxamide,Zoxamide,Macadamias,0.02
Zoxamide,Zoxamide,Pecans,0.02
Zoxamide,Zoxamide,Pine nut kernels,0.02
Zoxamide,Zoxamide,Pistachios,0.02
Zoxamide,Zoxamide,Walnuts,0.02
Zoxamide,Zoxamide,Others (2),0.02
Zoxamide,Zoxamide,Pome fruits,0.02
Zoxamide,Zoxamide,Apples,0.02
Zoxamide,Zoxamide,Pears,0.02
Zoxamide,Zoxamide,Quinces,0.02
Zoxamide,Zoxamide,Medlars,0.02
Zoxamide,Zoxamide,Loquats/Japanese medlars,0.02
Zoxamide,Zoxamide,Others (2),0.02
Zoxamide,Zoxamide,Stone fruits,0.02
Zoxamide,Zoxamide,Apricots,0.02
Zoxamide,Zoxamide,Cherries (sweet),0.02
Zoxamide,Zoxamide,Peaches,0.02
Zoxamide,Zoxamide,Plums,0.02
Zoxamide,Zoxamide,Others (2),0.02
Zoxamide,Zoxamide,Berries and small fruits,
Zoxamide,Zoxamide,(a) grapes,5
Zoxamide,Zoxamide,Table grapes,5
Zoxamide,Zoxamide,Wine grapes,5
Zoxamide,Zoxamide,(b) strawberries,0.02
Zoxamide,Zoxamide,(c) cane fruits,0.02
Zoxamide,Zoxamide,Blackberries,0.02
Zoxamide,Zoxamide,Dewberries,0.02
Zoxamide,Zoxamide,Raspberries (red and yellow),0.02
Zoxamide,Zoxamide,Others (2),0.02
Zoxamide,Zoxamide,(d) other small fruits and berries,0.02
Zoxamide,Zoxamide,Blueberries,0.02
Zoxamide,Zoxamide,Cranberries,0.02
Zoxamide,Zoxamide,"Currants (black, red and white)",0.02
Zoxamide,Zoxamide,"Gooseberries (green, red and yellow)",0.02
Zoxamide,Zoxamide,Rose hips,0.02
Zoxamide,Zoxamide,Mulberries (black and white),0.02
Zoxamide,Zoxamide,Azaroles/Mediterranean medlars,0.02
Zoxamide,Zoxamide,Elderberries,0.02
Zoxamide,Zoxamide,Others (2),0.02
Zoxamide,Zoxamide,Miscellaneous fruitswith,0.02
Zoxamide,Zoxamide,(a) edible peel,0.02
Zoxamide,Zoxamide,Dates,0.02
Zoxamide,Zoxamide,Figs,0.02
